               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.072931,           0.0096809,           0.0037005,             0.55179,             0.74227,             0.71589,             0.30189,            0.074323,           0.0071049,           0.0028172,           0.0099159,           0.0099159,           0.0099159
                  36,            0.075472,            0.009853,           0.0035419,             0.59632,             0.70804,             0.69925,             0.30365,             0.07444,           0.0070915,           0.0028187,           0.0099134,           0.0099134,           0.0099134
                  37,            0.073417,            0.010549,           0.0032576,             0.62688,             0.72502,             0.75197,             0.30305,            0.072165,           0.0070477,           0.0027702,           0.0099109,           0.0099109,           0.0099109
                  38,            0.075101,           0.0088632,           0.0030622,             0.60228,             0.77083,             0.72407,             0.33763,            0.069254,           0.0069656,           0.0030933,           0.0099084,           0.0099084,           0.0099084
                  39,            0.070391,            0.010369,           0.0033835,             0.51491,              0.7845,             0.77166,             0.33329,            0.067637,           0.0068626,            0.002951,            0.009906,            0.009906,            0.009906
                  40,            0.069394,           0.0091766,           0.0030985,             0.52003,             0.76816,             0.68785,             0.27033,            0.065159,           0.0070133,            0.003207,           0.0099035,           0.0099035,           0.0099035
                  41,            0.070949,           0.0093592,           0.0030501,             0.51467,             0.92564,             0.87147,             0.39331,            0.066671,           0.0067825,           0.0035469,            0.009901,            0.009901,            0.009901
                  42,            0.068744,           0.0091362,           0.0035464,             0.60576,             0.80138,             0.85519,             0.39591,            0.064848,           0.0066395,           0.0035816,           0.0098985,           0.0098985,           0.0098985
                  43,            0.072626,           0.0093398,           0.0038437,             0.78651,             0.68596,             0.83723,             0.35824,            0.062524,            0.006958,           0.0031162,           0.0098961,           0.0098961,           0.0098961
                  44,            0.068988,           0.0095147,           0.0032026,             0.83081,             0.71933,             0.84078,             0.36839,            0.061592,           0.0069218,           0.0026566,           0.0098936,           0.0098936,           0.0098936
                  45,            0.067668,           0.0090587,            0.004231,             0.68455,               0.725,             0.79548,             0.29035,            0.067269,           0.0067921,           0.0028122,           0.0098911,           0.0098911,           0.0098911
                  46,            0.071504,           0.0089436,           0.0035875,             0.77545,             0.75964,             0.83107,             0.34347,            0.063205,            0.006712,           0.0030762,           0.0098886,           0.0098886,           0.0098886
                  47,            0.068251,           0.0090102,           0.0031055,              0.7906,             0.77722,             0.81247,             0.34975,            0.064366,           0.0067081,           0.0025322,           0.0098861,           0.0098861,           0.0098861
                  48,            0.069214,           0.0087087,           0.0027429,             0.65882,             0.88472,             0.83828,             0.35395,            0.061565,           0.0067749,           0.0020859,           0.0098837,           0.0098837,           0.0098837
                  49,             0.06543,            0.009688,           0.0025195,             0.79506,             0.78782,             0.85477,              0.3489,            0.063586,           0.0067425,           0.0020655,           0.0098812,           0.0098812,           0.0098812
                  50,             0.06402,           0.0089377,           0.0029181,             0.67306,             0.75521,              0.7207,             0.29329,            0.062587,           0.0066471,           0.0022079,           0.0098787,           0.0098787,           0.0098787
                  51,            0.066161,           0.0089562,           0.0032775,             0.77995,             0.80725,              0.8326,             0.31619,            0.064405,           0.0067368,           0.0025196,           0.0098763,           0.0098763,           0.0098763
                  52,            0.066495,           0.0078637,           0.0033048,             0.86773,             0.78763,             0.90086,             0.43553,            0.056367,           0.0067768,            0.002169,           0.0098738,           0.0098738,           0.0098738
                  53,            0.066326,           0.0087009,            0.003078,             0.79877,             0.80897,             0.91122,             0.46539,            0.056575,           0.0067616,           0.0022758,           0.0098713,           0.0098713,           0.0098713
                  54,             0.06537,           0.0082314,           0.0046748,             0.76207,             0.82126,             0.87814,              0.3876,            0.059073,           0.0067387,           0.0025307,           0.0098688,           0.0098688,           0.0098688
                  55,            0.066035,           0.0090345,            0.002841,             0.84272,             0.83437,             0.89052,             0.43053,            0.054074,           0.0067348,           0.0024437,           0.0098664,           0.0098664,           0.0098664
                  56,            0.065909,           0.0089142,           0.0029725,             0.80836,             0.79165,             0.85936,             0.36888,            0.060361,           0.0064278,           0.0025043,           0.0098639,           0.0098639,           0.0098639
                  57,            0.065452,           0.0097249,             0.00276,             0.85249,             0.86518,             0.94132,             0.42269,            0.058328,           0.0063915,           0.0025829,           0.0098614,           0.0098614,           0.0098614
                  58,            0.068689,           0.0095742,           0.0029746,             0.81364,               0.865,             0.91423,              0.4231,             0.05912,           0.0060692,           0.0024002,           0.0098589,           0.0098589,           0.0098589
                  59,            0.066034,           0.0098561,           0.0024767,             0.85519,             0.86783,             0.90643,             0.45745,            0.052784,            0.006278,           0.0023148,           0.0098565,           0.0098565,           0.0098565
                  60,            0.062862,           0.0079073,           0.0029168,             0.81535,              0.7749,             0.88729,             0.42891,            0.051422,           0.0064144,            0.002285,            0.009854,            0.009854,            0.009854
                  61,            0.061857,           0.0088596,           0.0031611,             0.72814,             0.93265,             0.93057,             0.45879,            0.051759,           0.0061569,            0.002319,           0.0098515,           0.0098515,           0.0098515
                  62,            0.064917,           0.0083567,           0.0028102,             0.77326,             0.84609,             0.87905,             0.49084,             0.05309,           0.0061102,           0.0024967,            0.009849,            0.009849,            0.009849
                  63,            0.061711,           0.0086413,           0.0026615,             0.77725,             0.88217,             0.88752,             0.40635,            0.054884,           0.0062466,            0.002356,           0.0098466,           0.0098466,           0.0098466
                  64,            0.064609,           0.0087096,           0.0025898,             0.68016,             0.80521,              0.8454,             0.41728,             0.05761,           0.0061665,           0.0023258,           0.0098441,           0.0098441,           0.0098441
                  65,            0.064073,           0.0085952,           0.0025775,             0.64774,             0.89422,             0.87596,              0.3949,            0.055182,           0.0063171,           0.0023914,           0.0098416,           0.0098416,           0.0098416
                  66,            0.065253,           0.0092845,           0.0027268,             0.77738,             0.82338,             0.86084,              0.4289,            0.055371,           0.0063362,           0.0025658,           0.0098391,           0.0098391,           0.0098391
                  67,             0.06056,           0.0085893,           0.0025058,             0.77092,             0.86272,             0.82492,              0.4303,            0.052554,           0.0062933,           0.0025467,           0.0098367,           0.0098367,           0.0098367
                  68,            0.060399,           0.0081531,           0.0028725,             0.90731,             0.85514,             0.94277,             0.45371,             0.05234,           0.0062218,           0.0023848,           0.0098342,           0.0098342,           0.0098342
                  69,            0.060288,           0.0088954,           0.0024229,             0.82861,             0.89071,              0.9038,             0.43791,            0.056066,           0.0062256,           0.0022863,           0.0098317,           0.0098317,           0.0098317
                  70,            0.062743,           0.0091063,           0.0026906,             0.78215,             0.90899,             0.90575,             0.41033,            0.054283,           0.0062094,           0.0024837,           0.0098292,           0.0098292,           0.0098292
                  71,             0.06122,           0.0084545,           0.0029432,             0.87042,             0.86383,             0.89415,             0.44029,            0.051467,           0.0062981,             0.00266,           0.0098268,           0.0098268,           0.0098268
                  72,            0.061738,           0.0089872,           0.0025294,             0.82653,             0.80782,             0.89987,             0.48284,            0.052342,           0.0060587,           0.0021877,           0.0098243,           0.0098243,           0.0098243
                  73,            0.060938,           0.0077963,           0.0024627,             0.91122,             0.77381,             0.87819,             0.40401,            0.058467,           0.0058298,           0.0020546,           0.0098218,           0.0098218,           0.0098218
                  74,            0.058347,           0.0079257,           0.0024536,             0.74585,             0.85104,             0.84137,             0.44987,            0.052938,           0.0060053,           0.0025063,           0.0098193,           0.0098193,           0.0098193
                  75,            0.060054,           0.0079935,           0.0027292,             0.76377,             0.87521,             0.92666,               0.459,            0.050473,           0.0061817,           0.0026512,           0.0098169,           0.0098169,           0.0098169
                  76,            0.056292,           0.0079369,           0.0023324,             0.79403,             0.87796,             0.92706,             0.48074,            0.052647,            0.006216,           0.0020636,           0.0098144,           0.0098144,           0.0098144
                  77,            0.061337,           0.0085508,           0.0023028,             0.90544,             0.82083,             0.91427,              0.4575,            0.050446,           0.0060635,           0.0021019,           0.0098119,           0.0098119,           0.0098119
                  78,             0.05732,           0.0088036,           0.0024736,             0.82608,             0.86635,             0.91656,             0.37995,            0.056736,             0.00599,           0.0021908,           0.0098094,           0.0098094,           0.0098094
                  79,            0.059498,           0.0083733,           0.0024617,             0.83841,             0.86756,             0.90339,             0.42163,            0.054522,            0.005887,           0.0021467,            0.009807,            0.009807,            0.009807
                  80,            0.060414,           0.0081515,            0.002372,             0.82852,             0.81979,             0.84596,             0.42295,            0.053495,           0.0058022,           0.0020088,           0.0098045,           0.0098045,           0.0098045
                  81,            0.057966,           0.0082144,            0.002265,             0.87925,                0.85,             0.91583,             0.43977,            0.051902,           0.0058403,           0.0019903,            0.009802,            0.009802,            0.009802
                  82,             0.05866,           0.0085241,           0.0026034,             0.76802,                 0.9,             0.93295,             0.46491,            0.049556,           0.0059414,            0.002035,           0.0097995,           0.0097995,           0.0097995
                  83,             0.05609,           0.0073651,           0.0023547,             0.90921,             0.93333,             0.95034,             0.49939,            0.046826,           0.0059328,           0.0019865,            0.009797,            0.009797,            0.009797
                  84,              0.0581,           0.0081344,           0.0023986,             0.85473,             0.90104,             0.92204,             0.47439,            0.052385,           0.0058594,           0.0018461,           0.0097946,           0.0097946,           0.0097946
                  85,            0.056232,           0.0080952,           0.0021015,             0.84484,             0.91667,             0.91227,              0.5034,            0.045991,           0.0059385,           0.0018684,           0.0097921,           0.0097921,           0.0097921
                  86,            0.057753,            0.008444,           0.0022848,             0.85364,             0.89089,             0.90493,             0.46621,            0.050004,           0.0058556,           0.0019896,           0.0097896,           0.0097896,           0.0097896
                  87,            0.059244,           0.0080443,           0.0024643,             0.88973,              0.8375,             0.90074,             0.48111,            0.052264,           0.0058832,           0.0021629,           0.0097871,           0.0097871,           0.0097871
                  88,            0.055825,           0.0080021,           0.0029575,             0.90646,             0.84229,             0.90612,             0.48645,            0.051755,           0.0058212,            0.002124,           0.0097847,           0.0097847,           0.0097847
                  89,            0.056242,             0.00808,           0.0026384,             0.95406,             0.87037,             0.93157,             0.48119,            0.048574,           0.0059109,            0.001955,           0.0097822,           0.0097822,           0.0097822
                  90,            0.055226,           0.0072115,           0.0020728,             0.85982,             0.86145,             0.91105,             0.46563,            0.048278,           0.0058813,           0.0018852,           0.0097797,           0.0097797,           0.0097797
